280:00 - Deadhead Count: 256  Mandays: 12703, Active Legs: 12239, Excluded Legs: 3417, DH Excluded Legs: 197, newMandays: 12364
284:00 - Deadhead Count: 258  Mandays: 12725, Active Legs: 12286, Excluded Legs: 3370, DH Excluded Legs: 198, newMandays: 12382
288:00 - Deadhead Count: 260  Mandays: 12740, Active Legs: 12324, Excluded Legs: 3332, DH Excluded Legs: 198, newMandays: 12389
292:00 - Deadhead Count: 259  Mandays: 12782, Active Legs: 12372, Excluded Legs: 3284, DH Excluded Legs: 199, newMandays: 12427
296:00 - Deadhead Count: 267  Mandays: 12838, Active Legs: 12432, Excluded Legs: 3224, DH Excluded Legs: 206, newMandays: 12472
300:00 - Deadhead Count: 263  Mandays: 12838, Active Legs: 12459, Excluded Legs: 3197, DH Excluded Legs: 199, newMandays: 12475
304:00 - Deadhead Count: 256  Mandays: 12839, Active Legs: 12482, Excluded Legs: 3174, DH Excluded Legs: 195, newMandays: 12486
308:00 - Deadhead Count: 258  Mandays: 12857, Active Legs: 12523, Excluded Legs: 3133, DH Excluded Legs: 196, newMandays: 12498
312:00 - Deadhead Count: 249  Mandays: 12848, Active Legs: 12534, Excluded Legs: 3122, DH Excluded Legs: 192, newMandays: 12504
316:00 - Deadhead Count: 252  Mandays: 12873, Active Legs: 12569, Excluded Legs: 3087, DH Excluded Legs: 191, newMandays: 12526
320:00 - Deadhead Count: 253  Mandays: 12893, Active Legs: 12603, Excluded Legs: 3053, DH Excluded Legs: 192, newMandays: 12544
324:00 - Deadhead Count: 251  Mandays: 12880, Active Legs: 12621, Excluded Legs: 3035, DH Excluded Legs: 192, newMandays: 12536
328:00 - Deadhead Count: 254  Mandays: 12888, Active Legs: 12651, Excluded Legs: 3005, DH Excluded Legs: 192, newMandays: 12542
332:00 - Deadhead Count: 248  Mandays: 12889, Active Legs: 12672, Excluded Legs: 2984, DH Excluded Legs: 188, newMandays: 12552
336:00 - Deadhead Count: 248  Mandays: 12900, Active Legs: 12698, Excluded Legs: 2958, DH Excluded Legs: 189, newMandays: 12563
340:00 - Deadhead Count: 250  Mandays: 12908, Active Legs: 12730, Excluded Legs: 2926, DH Excluded Legs: 192, newMandays: 12571
344:00 - Deadhead Count: 245  Mandays: 12919, Active Legs: 12755, Excluded Legs: 2901, DH Excluded Legs: 189, newMandays: 12594
348:00 - Deadhead Count: 237  Mandays: 12917, Active Legs: 12762, Excluded Legs: 2894, DH Excluded Legs: 185, newMandays: 12603
352:00 - Deadhead Count: 234  Mandays: 12924, Active Legs: 12785, Excluded Legs: 2871, DH Excluded Legs: 185, newMandays: 12613
356:00 - Deadhead Count: 235  Mandays: 12931, Active Legs: 12808, Excluded Legs: 2848, DH Excluded Legs: 184, newMandays: 12619
360:00 - Deadhead Count: 232  Mandays: 12939, Active Legs: 12829, Excluded Legs: 2827, DH Excluded Legs: 181, newMandays: 12628
364:00 - Deadhead Count: 225  Mandays: 12918, Active Legs: 12838, Excluded Legs: 2818, DH Excluded Legs: 178, newMandays: 12614
368:00 - Deadhead Count: 223  Mandays: 12914, Active Legs: 12844, Excluded Legs: 2812, DH Excluded Legs: 176, newMandays: 12613
372:00 - Deadhead Count: 229  Mandays: 12931, Active Legs: 12869, Excluded Legs: 2787, DH Excluded Legs: 182, newMandays: 12625
376:00 - Deadhead Count: 227  Mandays: 12925, Active Legs: 12877, Excluded Legs: 2779, DH Excluded Legs: 179, newMandays: 12618
380:00 - Deadhead Count: 235  Mandays: 12953, Active Legs: 12911, Excluded Legs: 2745, DH Excluded Legs: 184, newMandays: 12637
384:00 - Deadhead Count: 229  Mandays: 12951, Active Legs: 12923, Excluded Legs: 2733, DH Excluded Legs: 181, newMandays: 12647
388:00 - Deadhead Count: 236  Mandays: 12992, Active Legs: 12964, Excluded Legs: 2692, DH Excluded Legs: 182, newMandays: 12678
392:00 - Deadhead Count: 231  Mandays: 12991, Active Legs: 12977, Excluded Legs: 2679, DH Excluded Legs: 178, newMandays: 12689
396:00 - Deadhead Count: 231  Mandays: 12997, Active Legs: 12987, Excluded Legs: 2669, DH Excluded Legs: 179, newMandays: 12690
400:00 - Deadhead Count: 229  Mandays: 13001, Active Legs: 13001, Excluded Legs: 2655, DH Excluded Legs: 178, newMandays: 12688
